klength,call_sequence,count
3,StringBuilder.length StringBuilder.<init> Joiner.on ,4
3,ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,8
3,ImmutableList.size ImmutableList.toArray Preconditions.checkNotNull ,2
3,ImmutableList$Builder.add Iterator.hasNext Iterator.next ,4
3,StringReader.<init> LineNumberReader.<init> ArrayList.<init> ,4
3,Choice$8.<init> Choice.<init> Choice.<init> ,1
3,Iterators.concat Choice$5$1.apply Function.apply ,1
3,Bindings.<init> HashMap.<init> Bindings.<init> ,1
3,ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> ,3
3,Choice$6.<init> Choice.<init> Choice.<init> ,1
3,Iterable.iterator Iterator.hasNext Iterator.next ,8
3,ErrorProneOptions.processArgs Preconditions.checkNotNull ImmutableList.builder ,5
3,ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> ,6
3,String.isEmpty StringBuilder.<init> StringBuilder.append ,1
3,Map.put Iterator.hasNext ImmutableList$Builder.build ,4
3,LineNumberReader.<init> ArrayList.<init> LineNumberReader.readLine ,4
3,Collection.iterator Choice$5$1.<init> Object.<init> ,1
3,Optional.absent Object.<init> PrintWriter.<init> ,1
3,ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> ,6
3,Joiner.join StringBuilder.append StringBuilder.toString ,6
3,List.add List.size List.addAll ,1
3,Iterables.transform Optional.presentInstances Iterable.iterator ,1
3,String.length String.substring String.split ,11
3,BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,2
3,Optional.presentInstances Iterable.iterator Choice.iterator ,1
3,Object.<init> HashMap.<init> ImmutableList.of ,3
3,ImmutableList$Builder.build ErrorProneOptions$Builder.build ImmutableMap.copyOf ,5
3,String.equals String.startsWith ImmutableList$Builder.add ,5
3,Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType ,1
3,ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> ,11
3,Choice.none Choice$8.<init> Choice.<init> ,1
3,StringBuilder.substring Object.<init> StringBuilder.<init> ,3
3,Arrays.asList ErrorProneOptions.processArgs Preconditions.checkNotNull ,5
3,String.split StringBuilder.<init> StringBuilder.append ,1
3,LineNumberReader.readLine LineNumberReader.getLineNumber LineNumberReader.readLine ,9
3,List.addAll List.size List.get ,1
3,Choice$5$1.<init> Object.<init> Iterators.transform ,1
3,ImmutableList.toArray Preconditions.checkNotNull ImmutableList.builder ,1
3,Enum.valueOf ErrorProneOptions$Severity;.clone StringBuilder.<init> ,1
3,Collection.size Choice$3.<init> Choice.<init> ,3
3,StringBuilder.<init> StringBuilder.toString Object.<init> ,3
3,SourceFile.getLines CharSource.wrap CharSource.readLines ,1
3,Preconditions.checkArgument Object.<init> StringBuilder.<init> ,4
3,ArrayList.<init> List.size List.get ,1
3,CharSource.readLines Object.<init> StringBuilder.<init> ,2
3,ErrorProneOptions$Severity;.clone StringBuilder.<init> StringBuilder.append ,1
3,StringBuilder.replace StringBuilder.toString CharSource.wrap ,3
3,InvalidCommandLineOptionException.<init> Exception.<init> Preconditions.checkNotNull ,3
3,CharSource.wrap Object.<init> StringBuilder.<init> ,4
3,String.startsWith ImmutableList$Builder.add Iterator.hasNext ,5
3,Iterator.hasNext Optional.absent Object.<init> ,1
3,Iterators.singletonIterator Choice$5$1.apply Function.apply ,1
3,Thread.interrupted Choice$5.<init> Choice.<init> ,1
3,ErrorProneOptions$Builder.putSeverity Map.put Iterator.hasNext ,8
3,Joiner.on Object.<init> StringBuilder.<init> ,2
3,ErrorProneOptions$Severity.valueOf ErrorProneOptions$Severity.<init> Enum.<init> ,1
3,Function.apply Choice.iterator Collections.emptyIterator ,2
3,HashMap.<init> ImmutableList.of Object.<init> ,2
3,Exception.<init> Preconditions.checkNotNull ImmutableList.builder ,2
3,Choice$5$1.apply Function.apply Choice.iterator ,3
3,Preconditions.checkNotNull Choice.iterator Collections.emptyIterator ,2
3,Choice.iterator Collections.emptyIterator Iterator.hasNext ,2
3,JavacTool.create JavacTool.create Choice$1.<init> ,2
3,TypeToken.getRawType Class.cast Choice$1.<init> ,1
3,List.get List.add List.size ,4
3,StringBuilder.toString Object.<init> StringBuilder.<init> ,6
3,TypeToken.<init> TypeToken.getRawType Class.cast ,1
3,Class.cast Choice$1.<init> Choice.<init> ,1
3,List.size List.get List.add ,4
3,Iterator.next String.equals String.startsWith ,16
3,Iterators.transform Iterators.concat Choice$5$1.apply ,1
3,Choice.<init> Choice.<init> Object.<init> ,11
3,StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> ,3
3,SourceFile.replaceLines StringBuilder.length StringBuilder.<init> ,1
3,LineNumberReader.getLineNumber LineNumberReader.readLine LineNumberReader.getLineNumber ,17
4,ImmutableList.of Object.<init> StringBuilder.<init> StringBuilder.toString ,2
4,Choice$1.<init> Choice.<init> Choice.<init> Object.<init> ,3
4,ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> ,6
4,Choice$2.<init> Choice.<init> Choice.<init> Object.<init> ,2
4,Choice$3.<init> Choice.<init> Choice.<init> Object.<init> ,3
4,PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,2
4,String.substring String.split StringBuilder.<init> StringBuilder.append ,1
4,Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> ,2
4,Collections.emptyIterator Iterator.hasNext Optional.absent Object.<init> ,1
4,Object.getClass Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType ,1
4,Choice$5.<init> Choice.<init> Choice.<init> Object.<init> ,1
4,Choice$4.<init> Object.<init> Choice.iterator Thread.interrupted ,1
4,Choice.asIterable Choice$4.<init> Object.<init> Iterables.transform ,1
4,ForwardingMap.<init> Object.<init> Preconditions.checkNotNull Bindings$Key.getValueType ,1
4,Bindings$Key.getValueType Object.getClass Bindings$Key$1.<init> TypeToken.<init> ,1
4,StringBuilder.length StringBuilder.<init> Joiner.on Object.<init> ,2
4,ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> ,8
4,ImmutableList.size ImmutableList.toArray Preconditions.checkNotNull ImmutableList.builder ,1
4,ImmutableList$Builder.add Iterator.hasNext Iterator.next String.equals ,4
4,StringReader.<init> LineNumberReader.<init> ArrayList.<init> LineNumberReader.readLine ,4
4,Choice$8.<init> Choice.<init> Choice.<init> Object.<init> ,1
4,Iterators.concat Choice$5$1.apply Function.apply Choice.iterator ,1
4,Bindings.<init> HashMap.<init> Bindings.<init> ForwardingMap.<init> ,1
4,ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ,3
4,Choice$6.<init> Choice.<init> Choice.<init> Object.<init> ,1
4,Iterable.iterator Iterator.hasNext Iterator.next String.equals ,8
4,ErrorProneOptions.processArgs Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ,5
4,ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> Preconditions.checkNotNull ,3
4,String.isEmpty StringBuilder.<init> StringBuilder.append StringBuilder.toString ,1
4,Map.put Iterator.hasNext ImmutableList$Builder.build ErrorProneOptions$Builder.build ,4
4,LineNumberReader.<init> ArrayList.<init> LineNumberReader.readLine LineNumberReader.getLineNumber ,4
4,Collection.iterator Choice$5$1.<init> Object.<init> Iterators.transform ,1
4,Optional.absent Object.<init> PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ,1
4,ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> ,6
4,Joiner.join StringBuilder.append StringBuilder.toString StringBuilder.replace ,2
4,List.add List.size List.addAll List.size ,1
4,Iterables.transform Optional.presentInstances Iterable.iterator Choice.iterator ,1
4,String.length String.substring String.split StringBuilder.<init> ,1
4,BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> ,2
4,Optional.presentInstances Iterable.iterator Choice.iterator Collection.iterator ,1
4,Object.<init> HashMap.<init> ImmutableList.of Object.<init> ,2
4,ImmutableList$Builder.build ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ,5
4,String.equals String.startsWith ImmutableList$Builder.add Iterator.hasNext ,5
4,Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType Class.cast ,1
4,ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> HashMap.<init> ,11
4,Choice.none Choice$8.<init> Choice.<init> Choice.<init> ,1
4,StringBuilder.substring Object.<init> StringBuilder.<init> Preconditions.checkArgument ,3
4,Arrays.asList ErrorProneOptions.processArgs Preconditions.checkNotNull ImmutableList.builder ,5
4,String.split StringBuilder.<init> StringBuilder.append StringBuilder.toString ,1
4,LineNumberReader.readLine LineNumberReader.getLineNumber LineNumberReader.readLine LineNumberReader.getLineNumber ,9
4,List.addAll List.size List.get List.add ,1
4,Choice$5$1.<init> Object.<init> Iterators.transform Iterators.concat ,1
4,ImmutableList.toArray Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ,1
4,Enum.valueOf ErrorProneOptions$Severity;.clone StringBuilder.<init> StringBuilder.append ,1
4,Collection.size Choice$3.<init> Choice.<init> Choice.<init> ,3
4,StringBuilder.<init> StringBuilder.toString Object.<init> StringBuilder.<init> ,3
4,SourceFile.getLines CharSource.wrap CharSource.readLines ArrayList.<init> ,1
4,Preconditions.checkArgument Object.<init> StringBuilder.<init> StringBuilder.substring ,2
4,ArrayList.<init> List.size List.get List.add ,1
4,CharSource.readLines Object.<init> StringBuilder.<init> StringBuilder.replace ,1
4,ErrorProneOptions$Severity;.clone StringBuilder.<init> StringBuilder.append StringBuilder.toString ,1
4,StringBuilder.replace StringBuilder.toString CharSource.wrap Object.<init> ,2
4,InvalidCommandLineOptionException.<init> Exception.<init> Preconditions.checkNotNull ImmutableList.builder ,2
4,CharSource.wrap Object.<init> StringBuilder.<init> StringBuilder.replace ,2
4,String.startsWith ImmutableList$Builder.add Iterator.hasNext Iterator.next ,4
4,Iterator.hasNext Optional.absent Object.<init> PrintWriter.<init> ,1
4,Iterators.singletonIterator Choice$5$1.apply Function.apply Choice.iterator ,1
4,Thread.interrupted Choice$5.<init> Choice.<init> Choice.<init> ,1
4,ErrorProneOptions$Builder.putSeverity Map.put Iterator.hasNext ImmutableList$Builder.build ,4
4,Joiner.on Object.<init> StringBuilder.<init> Preconditions.checkArgument ,2
4,ErrorProneOptions$Severity.valueOf ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> ,1
4,Function.apply Choice.iterator Collections.emptyIterator Choice$5$1.apply ,1
4,HashMap.<init> ImmutableList.of Object.<init> StringBuilder.<init> ,2
4,Exception.<init> Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ,2
4,Choice$5$1.apply Function.apply Choice.iterator Collections.emptyIterator ,2
4,Preconditions.checkNotNull Choice.iterator Collections.emptyIterator Iterator.hasNext ,1
4,Choice.iterator Collections.emptyIterator Iterator.hasNext Optional.absent ,2
4,JavacTool.create JavacTool.create Choice$1.<init> Choice.<init> ,2
4,TypeToken.getRawType Class.cast Choice$1.<init> Choice.<init> ,1
4,List.get List.add List.size List.addAll ,1
4,StringBuilder.toString Object.<init> StringBuilder.<init> CharSource.wrap ,3
4,TypeToken.<init> TypeToken.getRawType Class.cast Choice$1.<init> ,1
4,Class.cast Choice$1.<init> Choice.<init> Choice.<init> ,1
4,List.size List.get List.add List.size ,4
4,Iterator.next String.equals String.startsWith ImmutableList$Builder.add ,5
4,Iterators.transform Iterators.concat Choice$5$1.apply Function.apply ,1
4,Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull ,6
4,StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> Exception.<init> ,3
4,SourceFile.replaceLines StringBuilder.length StringBuilder.<init> Joiner.on ,1
4,LineNumberReader.getLineNumber LineNumberReader.readLine LineNumberReader.getLineNumber List.add ,11
5,ImmutableList.of Object.<init> StringBuilder.<init> StringBuilder.toString Object.<init> ,2
5,Choice$1.<init> Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull ,2
5,ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> ,6
5,Choice$2.<init> Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull ,1
5,Choice$3.<init> Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull ,3
5,PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> ,2
5,String.substring String.split StringBuilder.<init> StringBuilder.append StringBuilder.toString ,1
5,Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ,2
5,Collections.emptyIterator Iterator.hasNext Optional.absent Object.<init> PrintWriter.<init> ,1
5,Object.getClass Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType Class.cast ,1
5,Choice$5.<init> Choice.<init> Choice.<init> Object.<init> Choice$4.<init> ,1
5,Choice$4.<init> Object.<init> Choice.iterator Thread.interrupted Choice.iterator ,1
5,Choice.asIterable Choice$4.<init> Object.<init> Iterables.transform Optional.presentInstances ,1
5,ForwardingMap.<init> Object.<init> Preconditions.checkNotNull Bindings$Key.getValueType Object.getClass ,1
5,Bindings$Key.getValueType Object.getClass Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType ,1
5,StringBuilder.length StringBuilder.<init> Joiner.on Object.<init> StringBuilder.<init> ,2
5,ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> HashMap.<init> ,8
5,ImmutableList.size ImmutableList.toArray Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ,1
5,ImmutableList$Builder.add Iterator.hasNext Iterator.next String.equals String.startsWith ,4
5,StringReader.<init> LineNumberReader.<init> ArrayList.<init> LineNumberReader.readLine LineNumberReader.getLineNumber ,4
5,Choice$8.<init> Choice.<init> Choice.<init> Object.<init> Choice$4.<init> ,1
5,Iterators.concat Choice$5$1.apply Function.apply Choice.iterator Collections.emptyIterator ,1
5,Bindings.<init> HashMap.<init> Bindings.<init> ForwardingMap.<init> Object.<init> ,1
5,ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> ,2
5,Choice$6.<init> Choice.<init> Choice.<init> Object.<init> Choice$4.<init> ,1
5,Iterable.iterator Iterator.hasNext Iterator.next String.equals String.startsWith ,8
5,ErrorProneOptions.processArgs Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,5
5,ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> Preconditions.checkNotNull Arrays.asList ,3
5,String.isEmpty StringBuilder.<init> StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> ,1
5,Map.put Iterator.hasNext ImmutableList$Builder.build ErrorProneOptions$Builder.build ImmutableMap.copyOf ,4
5,LineNumberReader.<init> ArrayList.<init> LineNumberReader.readLine LineNumberReader.getLineNumber LineNumberReader.readLine ,3
5,Collection.iterator Choice$5$1.<init> Object.<init> Iterators.transform Iterators.concat ,1
5,Optional.absent Object.<init> PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ,1
5,ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> Preconditions.checkNotNull ,3
5,Joiner.join StringBuilder.append StringBuilder.toString StringBuilder.replace StringBuilder.toString ,2
5,List.add List.size List.addAll List.size List.get ,1
5,Iterables.transform Optional.presentInstances Iterable.iterator Choice.iterator Collection.iterator ,1
5,String.length String.substring String.split StringBuilder.<init> StringBuilder.append ,1
5,BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> HashMap.<init> ,2
5,Optional.presentInstances Iterable.iterator Choice.iterator Collection.iterator Object.<init> ,1
5,Object.<init> HashMap.<init> ImmutableList.of Object.<init> StringBuilder.<init> ,2
5,ImmutableList$Builder.build ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> ,5
5,String.equals String.startsWith ImmutableList$Builder.add Iterator.hasNext Iterator.next ,4
5,Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType Class.cast Choice$1.<init> ,1
5,ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> HashMap.<init> ImmutableList.of ,3
5,Choice.none Choice$8.<init> Choice.<init> Choice.<init> Object.<init> ,1
5,StringBuilder.substring Object.<init> StringBuilder.<init> Preconditions.checkArgument Object.<init> ,2
5,Arrays.asList ErrorProneOptions.processArgs Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ,5
5,String.split StringBuilder.<init> StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> ,1
5,LineNumberReader.readLine LineNumberReader.getLineNumber LineNumberReader.readLine LineNumberReader.getLineNumber List.add ,3
5,List.addAll List.size List.get List.add List.size ,1
5,Choice$5$1.<init> Object.<init> Iterators.transform Iterators.concat Choice$5$1.apply ,1
5,ImmutableList.toArray Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,1
5,Enum.valueOf ErrorProneOptions$Severity;.clone StringBuilder.<init> StringBuilder.append StringBuilder.toString ,1
5,Collection.size Choice$3.<init> Choice.<init> Choice.<init> Object.<init> ,3
5,StringBuilder.<init> StringBuilder.toString Object.<init> StringBuilder.<init> CharSource.wrap ,3
5,SourceFile.getLines CharSource.wrap CharSource.readLines ArrayList.<init> List.size ,1
5,Preconditions.checkArgument Object.<init> StringBuilder.<init> StringBuilder.substring Object.<init> ,2
5,ArrayList.<init> List.size List.get List.add List.size ,1
5,CharSource.readLines Object.<init> StringBuilder.<init> StringBuilder.replace StringBuilder.toString ,1
5,ErrorProneOptions$Severity;.clone StringBuilder.<init> StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> ,1
5,StringBuilder.replace StringBuilder.toString CharSource.wrap Object.<init> StringBuilder.<init> ,2
5,InvalidCommandLineOptionException.<init> Exception.<init> Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ,2
5,CharSource.wrap Object.<init> StringBuilder.<init> StringBuilder.replace StringBuilder.toString ,2
5,String.startsWith ImmutableList$Builder.add Iterator.hasNext Iterator.next String.equals ,4
5,Iterator.hasNext Optional.absent Object.<init> PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ,1
5,Iterators.singletonIterator Choice$5$1.apply Function.apply Choice.iterator Collections.emptyIterator ,1
5,Thread.interrupted Choice$5.<init> Choice.<init> Choice.<init> Object.<init> ,1
5,ErrorProneOptions$Builder.putSeverity Map.put Iterator.hasNext ImmutableList$Builder.build ErrorProneOptions$Builder.build ,4
5,Joiner.on Object.<init> StringBuilder.<init> Preconditions.checkArgument Object.<init> ,2
5,ErrorProneOptions$Severity.valueOf ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ,1
5,Function.apply Choice.iterator Collections.emptyIterator Choice$5$1.apply Function.apply ,1
5,HashMap.<init> ImmutableList.of Object.<init> StringBuilder.<init> StringBuilder.toString ,2
5,Exception.<init> Preconditions.checkNotNull ImmutableList.builder ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> ,2
5,Choice$5$1.apply Function.apply Choice.iterator Collections.emptyIterator Choice$5$1.apply ,1
5,Preconditions.checkNotNull Choice.iterator Collections.emptyIterator Iterator.hasNext Optional.absent ,1
5,Choice.iterator Collections.emptyIterator Iterator.hasNext Optional.absent Object.<init> ,1
5,JavacTool.create JavacTool.create Choice$1.<init> Choice.<init> Choice.<init> ,2
5,TypeToken.getRawType Class.cast Choice$1.<init> Choice.<init> Choice.<init> ,1
5,List.get List.add List.size List.addAll List.size ,1
5,StringBuilder.toString Object.<init> StringBuilder.<init> CharSource.wrap Object.<init> ,2
5,TypeToken.<init> TypeToken.getRawType Class.cast Choice$1.<init> Choice.<init> ,1
5,Class.cast Choice$1.<init> Choice.<init> Choice.<init> Object.<init> ,1
5,List.size List.get List.add List.size List.addAll ,1
5,Iterator.next String.equals String.startsWith ImmutableList$Builder.add Iterator.hasNext ,5
5,Iterators.transform Iterators.concat Choice$5$1.apply Function.apply Choice.iterator ,1
5,Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull Choice.iterator ,2
5,StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> Exception.<init> Preconditions.checkNotNull ,3
5,SourceFile.replaceLines StringBuilder.length StringBuilder.<init> Joiner.on Joiner.join ,1
5,LineNumberReader.getLineNumber LineNumberReader.readLine LineNumberReader.getLineNumber List.add LineNumberReader.getLineNumber ,11
6,ImmutableList.of Object.<init> StringBuilder.<init> StringBuilder.toString Object.<init> StringBuilder.<init> ,2
6,Choice$1.<init> Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull Choice.iterator ,2
6,ErrorProneOptions$Builder.build ImmutableMap.copyOf ErrorProneOptions.<init> ErrorProneOptions.<init> Object.<init> Preconditions.checkNotNull ,3
6,Choice$2.<init> Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull Thread.interrupted ,1
6,Choice$3.<init> Choice.<init> Choice.<init> Object.<init> Preconditions.checkNotNull Choice$2.<init> ,1
6,PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ErrorProneOptions$Builder.<init> ErrorProneOptions$Builder.<init> Object.<init> HashMap.<init> ,2
6,String.substring String.split StringBuilder.<init> StringBuilder.append StringBuilder.toString InvalidCommandLineOptionException.<init> ,1
6,Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> Enum.<init> ErrorProneOptions$Severity.<init> ,1
6,Collections.emptyIterator Iterator.hasNext Optional.absent Object.<init> PrintWriter.<init> BuiltInCheckerSuppliers.defaultChecks ,1
6,Object.getClass Bindings$Key$1.<init> TypeToken.<init> TypeToken.getRawType Class.cast Choice$1.<init> ,1
